label,condition,replicate
A4_1,A4,1
A4_2,A4,2
A4_3,A4,3
A6_1,A6,1
A6_2,A6,2
A6_3,A6,3
B2_1,B2,1
B2_2,B2,2
B2_3,B2,3
E10_1,E10,1
E10_2,E10,2
E10_3,E10,3
E6_1,E6,1
E6_2,E6,2
E6_3,E6,3
E9_1,E9,1
E9_2,E9,2
E9_3,E9,3
F1_1,F1,1
F1_2,F1,2
F1_3,F1,3
G12_1,G12,1
G12_2,G12,2
G12_3,G12,3
ctrl_1,ctrl,1
ctrl_2,ctrl,2
ctrl_3,ctrl,3
